"species_code","alt_full_spp_code","n_locations","scientific_name","american_english_name","taxonomy_version","taxonomic_sort_order"
"grerhe1",NA,"1","Rhea americana","Greater Rhea",2023,10
"gretin1",NA,"3","Tinamus major","Great Tinamou",2023,42
"wfwduc1",NA,"1","Dendrocygna viduata","White-faced Whistling-Duck",2023,231
"bbwduc",NA,"130","Dendrocygna autumnalis","Black-bellied Whistling-Duck",2023,233
"fuwduc",NA,"2","Dendrocygna bicolor","Fulvous Whistling-Duck",2023,238
"snogoo",NA,"149","Anser caerulescens","Snow Goose",2023,256
"rosgoo",NA,"7","Anser rossii","Ross's Goose",2023,260
"swagoo2","swagoo1","1","Anser cygnoides (Domestic type)","Swan Goose (Domestic type)",2023,269
"gwfgoo",NA,"13","Anser albifrons","Greater White-fronted Goose",2023,271
"gwfgoo2","gwfgoo","1","Anser albifrons gambelli/sponsa","Greater White-fronted Goose (Western)",2023,274
"domgoo1",NA,"17","Anser sp. (Domestic type)","Domestic goose sp. (Domestic type)",2023,294
"brant",NA,"3","Branta bernicla","Brant",2023,296
"bargoo",NA,"1","Branta leucopsis","Barnacle Goose",2023,304
"cacgoo1",NA,"14","Branta hutchinsii","Cackling Goose",2023,313
"alcgoo1","cacgoo1","2","Branta hutchinsii leucopareia","Cackling Goose (Aleutian)",2023,314
"ricgoo1","cacgoo1","2","Branta hutchinsii hutchinsii","Cackling Goose (Richardson's)",2023,315
"cacgoo2","cacgoo1","1","Branta hutchinsii minima","Cackling Goose (minima)",2023,316
"cangoo",NA,"2947","Branta canadensis","Canada Goose",2023,324
"cangoo4","cangoo","19","Branta canadensis moffitti/maxima","Canada Goose (moffitti/maxima)",2023,325
"cangoo1","cangoo","7","Branta canadensis [canadensis Group]","Canada Goose (canadensis Group)",2023,331
"x00415",NA,"9","Anser albifrons x Branta canadensis","Greater White-fronted x Canada Goose (hybrid)",2023,338
"x00759",NA,"4","Anser sp. (Domestic type) x Branta canadensis","Domestic goose sp. x Canada Goose (hybrid)",2023,341
