Code,Area
US-MN,Minnesota
US-MA,Massachusetts
US-OH,Ohio
US-WA,Washington
US-NC,North Carolina
US-NY,New York
US-AK,Alaska
US-PA,Pennsylvania
US-VA,Virginia
US-OR,Oregon
US-RI,Rhode Island
CA-MB,Manitoba
CA-BC,British Columbia
CA-ON,Ontario
CA-QC,Quebec
US-VT,Vermont
US-IL,Illinois
US-CT,Connecticut
US-CA,California
CA-AB,Alberta
US-FL,Florida
US-CO,Colorado
US-KY,Kentucky
US-TX,Texas
US-WI,Wisconsin
US-SC,South Carolina
US-ND,North Dakota
US-ID,Idaho
US-TN,Tennessee
US-MO,Missouri
US-KS,Kansas
US-NM,New Mexico
US-GA,Georgia
US-SD,South Dakota
US-NJ,New Jersey
US-WV,West Virginia
US-AL,Alabama
US-MI,Michigan
US-DE,Deleware
US-ME,Maine
US-IN,Indiana
US-AZ,Arizona
US-MD,Maryland
US-LA,Louisiana
US-IA,Iowa
CA-NB,New Brunswick
CA-NS,Nova Scotia
US-NH,New Hampshire
US-AR,Arkansas
CA-SK,Saskatchewan
CA-PE,Prince Edward Island
US-NE,Nebraska
US-MT,Montana
US-UT,Utah
US-OK,Oklahoma
US-NV,Nevada
US-DC,District of Columbia
CA-NL,Newfoundland and Labrador
US-WY,Wyoming
US-HI,Hawaii
US-MS,Mississippi
XX-,Unknown
CA-NT,Northwest Territories
PM-,Saint Pierre and Miquelon
CA-YT,Yukon
CR-A,Alajuela
MX-NAY,Nayarit
VI-SJ,Saint John
CA-NU,Nunavut
